locale	current_slug	en_slug	reason	path
de	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/de/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
de	google-shopping-quality-score-reverse-engineering-des-2026-feed-ranking-algorithmus	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-5-en-content-tokens	content/posts/de/google-shopping-quality-score-reverse-engineering-des-2026-feed-ranking-algorithmus.mdx
de	multi-currency-feed-ops-google-shopping-auf-12-markte-skalieren	multi-currency-feed-ops-scaling-google-shopping-to-12-markets	shares-3-en-content-tokens	content/posts/de/multi-currency-feed-ops-google-shopping-auf-12-markte-skalieren.mdx
de	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/de/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
de	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/de/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
de	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/de/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
de	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/de/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
de	shopping-quality-score-reverse-engineering-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-4-en-content-tokens	content/posts/de/shopping-quality-score-reverse-engineering-2026.mdx
de	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/de/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
de	zero-click-shopping-das-knowledge-panel-gewinnen	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-4-en-content-tokens	content/posts/de/zero-click-shopping-das-knowledge-panel-gewinnen.mdx
de	zero-click-shopping-feeds-fur-googles-produkt-wissens-panel-optimieren	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-3-en-content-tokens	content/posts/de/zero-click-shopping-feeds-fur-googles-produkt-wissens-panel-optimieren.mdx
es	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/es/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
es	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/es/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
es	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/es/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
es	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/es/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
es	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/es/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
es	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/es/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
fr	encheres-vs-segmentation-de-flux-test-roi-90-jours	google-shopping-bid-modifiers-vs-feed-segmentation-roi-test	shares-3-en-content-tokens	content/posts/fr/encheres-vs-segmentation-de-flux-test-roi-90-jours.mdx
fr	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/fr/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
fr	modificateurs-d-encheres-google-shopping-vs-segmentation-de-flux-test-roi	google-shopping-bid-modifiers-vs-feed-segmentation-roi-test	shares-3-en-content-tokens	content/posts/fr/modificateurs-d-encheres-google-shopping-vs-segmentation-de-flux-test-roi.mdx
fr	quality-score-google-shopping-reverse-engineering-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-4-en-content-tokens	content/posts/fr/quality-score-google-shopping-reverse-engineering-2026.mdx
fr	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/fr/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
fr	score-de-qualite-google-shopping-reverse-engineering-de-l-algorithme-de-classement-des-flux-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-3-en-content-tokens	content/posts/fr/score-de-qualite-google-shopping-reverse-engineering-de-l-algorithme-de-classement-des-flux-2026.mdx
fr	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/fr/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
fr	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/fr/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
fr	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/fr/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
fr	shopping-zero-clic-gagner-le-knowledge-panel-produit	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-3-en-content-tokens	content/posts/fr/shopping-zero-clic-gagner-le-knowledge-panel-produit.mdx
fr	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/fr/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
it	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/it/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
it	google-shopping-quality-score-reverse-engineering-dell-algoritmo-di-ranking-dei-feed-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-5-en-content-tokens	content/posts/it/google-shopping-quality-score-reverse-engineering-dell-algoritmo-di-ranking-dei-feed-2026.mdx
it	i-gruppi-di-asset-performance-max-stanno-distruggendo-il-tuo-feed-analisi-di-un-audit-da-200k	performance-max-asset-groups-are-killing-your-feed-a-200k-audit-breakdown	shares-3-en-content-tokens	content/posts/it/i-gruppi-di-asset-performance-max-stanno-distruggendo-il-tuo-feed-analisi-di-un-audit-da-200k.mdx
it	quality-score-shopping-reverse-engineering-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-4-en-content-tokens	content/posts/it/quality-score-shopping-reverse-engineering-2026.mdx
it	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/it/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
it	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/it/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
it	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/it/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
it	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/it/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
it	shopping-zero-click-vincere-il-knowledge-panel-google	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-4-en-content-tokens	content/posts/it/shopping-zero-click-vincere-il-knowledge-panel-google.mdx
it	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/it/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
nl	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/nl/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
nl	google-shopping-quality-score-reverse-engineering-van-het-2026-feed-ranking-algoritme	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-5-en-content-tokens	content/posts/nl/google-shopping-quality-score-reverse-engineering-van-het-2026-feed-ranking-algoritme.mdx
nl	multi-currency-feed-ops-google-shopping-schalen-naar-12-markten	multi-currency-feed-ops-scaling-google-shopping-to-12-markets	shares-3-en-content-tokens	content/posts/nl/multi-currency-feed-ops-google-shopping-schalen-naar-12-markten.mdx
nl	performance-max-asset-groepen-vernietigen-je-feed-een-200k-audit-uitsplitsing	performance-max-asset-groups-are-killing-your-feed-a-200k-audit-breakdown	shares-3-en-content-tokens	content/posts/nl/performance-max-asset-groepen-vernietigen-je-feed-een-200k-audit-uitsplitsing.mdx
nl	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/nl/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
nl	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/nl/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
nl	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/nl/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
nl	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/nl/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
nl	shopping-quality-score-reverse-engineering-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-4-en-content-tokens	content/posts/nl/shopping-quality-score-reverse-engineering-2026.mdx
nl	variant-clustering-in-shopping-feeds-stop-met-het-kannibaliseren-van-je-eigen-advertenties	variant-clustering-in-shopping-feeds-stop-cannibalizing-your-own-ads	shares-3-en-content-tokens	content/posts/nl/variant-clustering-in-shopping-feeds-stop-met-het-kannibaliseren-van-je-eigen-advertenties.mdx
nl	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/nl/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
nl	zero-click-shopping-claim-google-s-knowledge-panel	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-4-en-content-tokens	content/posts/nl/zero-click-shopping-claim-google-s-knowledge-panel.mdx
nl	zero-click-shopping-feeds-optimaliseren-voor-google-s-product-knowledge-panel	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-4-en-content-tokens	content/posts/nl/zero-click-shopping-feeds-optimaliseren-voor-google-s-product-knowledge-panel.mdx
pl	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/pl/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
pl	multi-currency-feed-ops-skalowanie-google-shopping-do-12-rynkow	multi-currency-feed-ops-scaling-google-shopping-to-12-markets	shares-3-en-content-tokens	content/posts/pl/multi-currency-feed-ops-skalowanie-google-shopping-do-12-rynkow.mdx
pl	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/pl/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
pl	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/pl/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
pl	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/pl/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
pl	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/pl/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
pl	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/pl/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
pl	zakupy-zero-click-optymalizacja-feedow-pod-google-product-knowledge-panel	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-4-en-content-tokens	content/posts/pl/zakupy-zero-click-optymalizacja-feedow-pod-google-product-knowledge-panel.mdx
pl	zero-click-shopping-zdobadz-knowledge-panel-google	zero-click-shopping-optimizing-feeds-for-google-s-product-knowledge-panel	shares-4-en-content-tokens	content/posts/pl/zero-click-shopping-zdobadz-knowledge-panel-google.mdx
pt	google-shopping-quality-score-engenharia-reversa-do-algoritmo-de-ranking-de-feed-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-3-en-content-tokens	content/posts/pt/google-shopping-quality-score-engenharia-reversa-do-algoritmo-de-ranking-de-feed-2026.mdx
pt	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/pt/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
pt	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/pt/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
pt	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/pt/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
pt	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/pt/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
pt	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/pt/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
sv	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars	identical-to-en	content/posts/sv/feed-attribute-arbitrage-how-condition-and-age-group-beat-bid-wars.mdx
sv	google-shopping-quality-score-reverse-engineering-av-2026-ars-feed-rankingsalgoritm	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-4-en-content-tokens	content/posts/sv/google-shopping-quality-score-reverse-engineering-av-2026-ars-feed-rankingsalgoritm.mdx
sv	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns	identical-to-en	content/posts/sv/return-rate-by-feed-attribute-8m-analysis-of-mismatch-patterns.mdx
sv	shopping-feed-a-b-testing-real-split-test-framework-for-2026	shopping-feed-a-b-testing-real-split-test-framework-for-2026	identical-to-en	content/posts/sv/shopping-feed-a-b-testing-real-split-test-framework-for-2026.mdx
sv	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms	identical-to-en	content/posts/sv/shopping-feed-localization-the-18-ctr-lift-from-city-level-geo-terms.mdx
sv	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites	shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-re	shares-8-en-content-tokens	content/posts/sv/shopping-feed-seasonality-scripts-auto-adjusting-titles-for-q4-without-manual-rewrites.mdx
sv	shopping-quality-score-reverse-engineering-2026	google-shopping-quality-score-reverse-engineering-the-2026-feed-ranking-algorith	shares-4-en-content-tokens	content/posts/sv/shopping-quality-score-reverse-engineering-2026.mdx
sv	voice-search-shopping-feed-optimization-for-gemini-sge-2026	voice-search-shopping-feed-optimization-for-gemini-sge-2026	identical-to-en	content/posts/sv/voice-search-shopping-feed-optimization-for-gemini-sge-2026.mdx
